movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Fire Birds,24-May-90,Action,PG-13,14760451.00,29485923.00
Dick Tracy,15-Jun-90,Action,PG,103738726.00,207231621.00
Betsy's Wedding,22-Jun-90,Comedy,R,19740070.00,39433357.00
Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,53208180.00,106290270.00
DuckTales: The Movie - Treasure of th…,3-Aug-90,Adventure,G,18075331.00,36107823.00
Taking Care of Business,17-Aug-90,Comedy,R,20005435.00,39963460.00
Mr. Destiny,12-Oct-90,Comedy,PG-13,15379253.00,30722056.00
The Rescuers Down Under,16-Nov-90,Adventure,G,27931461.00,55796728.00
3 Men and a Little Lady,21-Nov-90,Comedy,PG,71609321.00,143108869.00
Green Card,25-Dec-90,Romantic Comedy,PG-13,29804169.00,59679131.00
White Fang,18-Jan-91,Adventure,PG,34729091.00,69540672.00
Scenes from a Mall,22-Feb-91,Comedy,,9563393.00,19149495.00
Haakon Haakonsen,1-Mar-91,Adventure,PG,15024232.00,30084149.00
The Marrying Man,5-Apr-91,Romantic Comedy,R,12454768.00,24939118.00
Oscar,26-Apr-91,Comedy,PG,23562716.00,47181395.00
One Good Cop,3-May-91,Action,R,11276846.00,22580472.00
What About Bob?,17-May-91,Comedy,PG,63710000.00,127571325.00
Wild Hearts Can't Be Broken,24-May-91,Drama,,7300000.00,14617333.00
The Rocketeer,21-Jun-91,Action,PG,46573027.00,93256673.00
The Doctor,24-Jul-91,Drama,PG-13,37497480.00,75084021.00
Paradise,18-Sep-91,Drama,PG-13,18634643.00,37313540.00
Deceived,27-Sep-91,Thriller/Suspense,PG-13,28738096.00,57544453.00
Ernest Scared Stupid,11-Oct-91,Comedy,PG,14143280.00,28320147.00
Billy Bathgate,1-Nov-91,Drama,R,15565363.00,31167691.00
Beauty and the Beast,13-Nov-91,Musical,G,218951625.00,363017667.00
Father of the Bride,20-Dec-91,Comedy,PG,89325780.00,179821881.00
The Hand That Rocks the Cradle,10-Jan-92,Thriller/Suspense,R,88036683.00,178831137.00
Medicine Man,7-Feb-92,Drama,PG-13,44948240.00,91304495.00
Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,2891055.00,5872667.00
Noises Off...,20-Mar-92,Comedy,PG-13,2280148.00,4631720.00
Straight Talk,3-Apr-92,Comedy,PG,21202099.00,43068356.00
Newsies,8-Apr-92,,PG,2706352.00,5497481.00
Passed Away,24-Apr-92,,PG-13,4030793.00,8187848.00
Encino Man,22-May-92,Comedy,PG,40057130.00,81369058.00
Sister Act,29-May-92,Comedy,PG,139605150.00,283583472.00
Honey I Blew Up the Kid,17-Jul-92,Comedy,PG,58662452.00,119162518.00
A Stranger Among Us,17-Jul-92,Drama,PG-13,12282994.00,24950752.00
3 Ninjas,7-Aug-92,Action,PG,29028000.00,58965304.00
A Gun in Betty Lou's Handbag,21-Aug-92,,PG-13,3591460.00,7295423.00
Captain Ron,18-Sep-92,Comedy,PG-13,22518097.00,45741576.00
Sarafina!,18-Sep-92,Drama,PG-13,7306242.00,14841352.00
Innocent Blood,25-Sep-92,Horror,R,4877567.00,9907922.00
The Mighty Ducks,2-Oct-92,Comedy,PG,50752337.00,103120810.00
1492: Conquest of Paradise,9-Oct-92,Adventure,PG-13,7099531.00,14421454.00
Consenting Adults,16-Oct-92,Drama,R,21591728.00,43859823.00
Aladdin,11-Nov-92,Comedy,G,217350219.00,441969178.00
The Distinguished Gentleman,4-Dec-92,Comedy,R,46434570.00,94349900.00
The Muppet Christmas Carol,11-Dec-92,Comedy,G,27281507.00,55417615.00
Alive,15-Jan-93,Adventure,R,36299670.00,73914543.00
Aspen Extreme,22-Jan-93,Romantic Comedy,PG-13,7843388.00,15970955.00
Homeward Bound: The Incredible Journey,3-Feb-93,Adventure,G,41833324.00,85182343.00
The Cemetery Club,3-Feb-93,Comedy,PG-13,5583621.00,11369541.00
Swing Kids,5-Mar-93,Musical,PG-13,5632086.00,11468231.00
A Far Off Place,12-Mar-93,Adventure,PG,12890752.00,26248558.00
Born Yesterday,26-Mar-93,Romantic Comedy,PG,17760754.00,36165012.00
The Adventures of Huck Finn,2-Apr-93,Adventure,PG,24103594.00,49080505.00
Bound by Honor,16-Apr-93,,R,4496583.00,9156084.00
Indian Summer,23-Apr-93,Comedy,R,14717851.00,29968953.00
Super Mario Bros.,28-May-93,Action,PG,20844907.00,42445058.00
Guilty as Sin,4-Jun-93,Thriller/Suspense,R,22622537.00,46064723.00
Life With Mikey,4-Jun-93,Comedy,PG,12349549.00,25146538.00
What's Love Got to Do With It,9-Jun-93,Drama,R,39100956.00,79618610.00
Son in Law,2-Jul-93,Comedy,PG-13,25989889.00,52921433.00
Hocus Pocus,16-Jul-93,Comedy,PG,39360491.00,80147079.00
Another Stakeout,23-Jul-93,Comedy,PG-13,20107504.00,40943541.00
My Boyfriend's Back,6-Aug-93,,PG-13,3218882.00,6554384.00
Father Hood,27-Aug-93,,PG-13,3268203.00,6654819.00
The Joy Luck Club,8-Sep-93,Drama,R,32790064.00,66768171.00
Money for Nothing,10-Sep-93,Comedy,R,1044824.00,2127496.00
The Program,24-Sep-93,Action,R,23042200.00,46919256.00
Cool Runnings,1-Oct-93,Comedy,PG,68856263.00,140392731.00
The Nightmare Before Christmas,13-Oct-93,Musical,PG,50408318.00,100026637.00
The Three Musketeers,12-Nov-93,Adventure,PG,53661805.00,109310377.00
Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,57319029.00,116965668.00
Tombstone,25-Dec-93,Western,R,56505065.00,115781734.00
The Air Up There,7-Jan-94,Comedy,PG,20782439.00,42940186.00
Cabin Boy,7-Jan-94,Comedy,PG-13,3469493.00,7168577.00
Iron Will,14-Jan-94,Drama,PG,20623071.00,42610902.00
Red Rock West,28-Jan-94,,R,2502551.00,5170709.00
Blank Check,11-Feb-94,Comedy,PG,30573770.00,63170804.00
Angie,4-Mar-94,Comedy,R,9252349.00,19116981.00
The Ref,9-Mar-94,Comedy,R,11325885.00,23401275.00
D2: The Mighty Ducks,25-Mar-94,Comedy,PG,45604206.00,94226333.00
Holy Matrimony,8-Apr-94,Comedy,,713234.00,1473665.00
White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,8752399.00,18083994.00
The Inkwell,22-Apr-94,Comedy,R,8864699.00,18316030.00
When a Man Loves a Woman,29-Apr-94,Drama,R,50021959.00,103354194.00
3 Ninjas Kick Back,6-May-94,Action,PG,11744960.00,24267154.00
Renaissance Man,3-Jun-94,Comedy,PG-13,24172899.00,49945474.00
The Lion King,15-Jun-94,Adventure,G,422780140.00,761640898.00
I Love Trouble,29-Jun-94,Romantic Comedy,PG,30806194.00,63651027.00
Angels in the Outfield,15-Jul-94,Comedy,PG,50236831.00,103798152.00
In the Army Now,12-Aug-94,Comedy,PG,28881266.00,59673787.00
Color of Night,19-Aug-94,Thriller/Suspense,R,19750470.00,40804816.00
Camp Nowhere,26-Aug-94,Comedy,PG,10442641.00,21576332.00
It's Pat,26-Aug-94,Comedy,,60822.00,125666.00
A Simple Twist of Fate,2-Sep-94,Drama,PG-13,3404935.00,7035189.00
Quiz Show,14-Sep-94,Drama,PG-13,24787282.00,50840394.00
Terminal Velocity,23-Sep-94,Action,PG-13,16478900.00,34048315.00
Ed Wood,30-Sep-94,Comedy,R,5828466.00,12042634.00
The Puppet Masters,21-Oct-94,Horror,R,8579626.00,17727017.00
Squanto: A Warrior's Tale,28-Oct-94,Drama,PG,3319344.00,6858345.00
The Santa Clause,11-Nov-94,Comedy,PG,144833357.00,298369717.00
A Low Down Dirty Shame,23-Nov-94,Action,R,29317886.00,60321919.00
The Jungle Book,25-Dec-94,Adventure,PG,44342956.00,88930321.00
Houseguest,6-Jan-95,Comedy,PG,26325256.00,51016522.00
Bad Company,20-Jan-95,Thriller/Suspense,R,3523909.00,6829092.00
Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,5086578.00,9857435.00
The Jerky Boys,3-Feb-95,Comedy,R,7555256.00,14641561.00
Heavy Weights,17-Feb-95,Comedy,PG,17671310.00,34245779.00
Man of the House,3-Mar-95,Comedy,PG,40029009.00,77573459.00
Roommates,3-Mar-95,Comedy,PG,12076989.00,23404369.00
Tall Tale,24-Mar-95,Western,PG,8247627.00,15983331.00
A Pyromaniac's Love Story,28-Mar-95,Romantic Comedy,PG,468240.00,907414.00
Jefferson in Paris,31-Mar-95,Drama,PG-13,2461628.00,4770461.00
Funny Bones,31-Mar-95,Comedy,R,529135.00,1025425.00
A Goofy Movie,7-Apr-95,Comedy,G,35336439.00,68479579.00
While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,81057016.00,157082900.00
Crimson Tide,12-May-95,Action,R,91387195.00,177102077.00
Mad Love,26-May-95,Drama,PG-13,15446532.00,29934306.00
Pocahontas,10-Jun-95,Adventure,G,141579773.00,274370957.00
Judge Dredd,30-Jun-95,Action,R,34687912.00,67222776.00
Operation Dumbo Drop,28-Jul-95,Adventure,PG,24670346.00,47809421.00
Dangerous Minds,11-Aug-95,Drama,R,84919401.00,164552293.00
A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,13406717.00,25981285.00
The Tie That Binds,8-Sep-95,Thriller/Suspense,R,5762795.00,11167895.00
Unstrung Heroes,15-Sep-95,Drama,PG,7929000.00,15365850.00
The Big Green,29-Sep-95,Comedy,PG,17736619.00,34372339.00
Dead Presidents,4-Oct-95,Drama,R,24120194.00,46741467.00
The Scarlet Letter,13-Oct-95,Drama,R,10359006.00,20075033.00
Feast of July,13-Oct-95,Drama,R,293274.00,568342.00
Powder,27-Oct-95,Drama,PG-13,30833914.00,59727216.00
Toy Story,22-Nov-95,Adventure,G,191796233.00,370409631.00
Father of the Bride Part II,8-Dec-95,Comedy,PG,76578911.00,147658438.00
Nixon,20-Dec-95,Drama,R,13668249.00,26302005.00
Tom and Huck,22-Dec-95,Adventure,PG,23837227.00,45911517.00
Mr. Holland's Opus,29-Dec-95,Drama,PG,82582604.00,157508868.00
White Squall,2-Feb-96,Adventure,PG-13,10229300.00,19509726.00
Muppet Treasure Island,16-Feb-96,Adventure,G,34327391.00,65470567.00
Mr. Wrong,16-Feb-96,Romantic Comedy,PG-13,12805071.00,24422334.00
Before and After,23-Feb-96,Drama,PG-13,8642118.00,16482589.00
Up Close & Personal,1-Mar-96,Drama,PG-13,51045801.00,97356578.00
Homeward Bound II: Lost in San Franc…,8-Mar-96,Adventure,G,32709423.00,62384706.00
